ACTIVIDAD ECONOMICA Y PRODUCTO,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019,2020(p),Enero a Agosto 2021(p)
Bebidas,"0,8",1,"1,8","3,7","3,1","3,7","6,7","7,2","2,5","2,2","1,8","2,5",2,"2,6","2,7","2,1","1,4","1,7","3,1","2,6","3,1","3,6",4,"3,9","3,4","0,6","0,8","2,1","0,8","0,5"
Calzados,"0,6","2,1","1,2","1,1","1,5","2,4","0,6","0,3","0,5","0,6","0,2","0,3","0,7","1,6","2,2","3,4","2,6",2,"2,2","2,8","2,3","1,8","1,8","1,6","1,3","0,9","0,8","0,5","0,4",0
Papel y Productos de Papel,"0,6","0,8","0,7","1,4","0,3","0,4","2,9","1,1","0,5","0,3","0,2","0,1","0,9",1,"0,7","0,3","0,5","0,3","0,5","1,5","0,8",1,"1,3","1,3","1,2","1,2","3,4","6,4","8,9","9,2"
Productos de Tabacos,"0,2","0,5","1,7","3,2","3,8","3,6",3,"2,6","1,7","1,6","1,5",1,"0,5","0,4","0,4","0,4","0,6","1,4","1,3","0,4","0,1",,,,0,0,0,0,0,0
Algodon e Hilados de Algodon,,"1,6","1,4","0,6","1,4","1,5","1,4","1,1",1,"1,6","1,3","1,4","0,7","0,9","1,5","1,1","1,4","2,1",2,"1,9","1,5","0,2",,,,,,,,
Cacao,"0,6","0,7","0,3","0,3","0,3","0,5","0,5","0,6","0,6","0,9","0,8","0,8","0,8","0,9","1,1","1,1","1,6","0,8","1,6","0,8","1,1","1,1","0,9",1,"1,3","1,6","1,5","1,4","1,4","0,9"
Fabricacion de muebles con otro material,,0,0,0,0,0,0,0,0,"0,1","2,2",2,3,"4,3","3,1",1,1,"0,6","0,3","0,4","0,2","0,8","0,5","0,7","0,6","0,8","0,9","0,5","0,3","0,3"
Barras de Plomo,0,"0,1","0,1",0,"0,3","0,1","0,2","0,1","0,3","0,3","0,2","0,1","0,3","0,5","0,8","0,8","1,6","0,7","0,2",,"0,2","0,1",,"0,4","2,1","2,5","0,7","1,2","0,5","0,7"
Cloruro de Potasio,,,,,,,,,,,,,,,,,,,,,,,,,,,"0,6","6,4","1,6","4,1"
Cafe Elaborado,"0,6","0,2","0,3","0,1",0,0,0,0,0,0,0,0,"0,1",0,0,0,0,"1,5","0,7",0,"0,1",0,0,0,0,0,,0,0,0
Zinc en Bruto Sin Alear,,,0,,,,"0,4","0,1",,,,,,,,,,,,,,,,,,,,,,
Otras Manufacturas,"2,9","3,8","5,5","7,5","20,4","9,6","13,6","13,8",14,"20,3","11,3","11,9",19,"26,1","28,7","34,3","30,5","29,5",57,"46,3","63,2",55,"51,5","42,3",33,"47,4","46,9","50,5","38,9",42
ENERGIA ELECTRICA,"0,2","0,3","0,3","0,3","0,2","0,1","0,1","0,1",0,0,0,0,0,0,,,,,,,,,,,,,,,,
REEXPORTACIONES,"31,8","22,2","33,2","42,1","79,2","16,5","214,7","360,6","226,1","123,7","52,4","84,2","68,1","78,1","141,3","64,3","120,7","84,3","83,7","67,5","174,4","118,7","133,9","184,5","131,2","142,7","94,1","126,3","116,3","64,6"
EFECTOS PERSONALES,"0,9","0,9","1,2","1,5","1,7","1,8","1,9","2,5","2,6",3,"2,7","2,6","2,5","2,5","2,3","3,6","4,4","2,5","2,4","2,1","2,1","1,2","1,2","1,5","1,2","1,3","1,6","2,2","1,2","0,8"
